ID,NAME,STATE_ID,CODE,CATEGORY,DELIMITATION
1,ANDAMAN AND NICOBAR ISLANDS,U01,1,GEN,2008
2,SIRPUR,S01,1,GEN,2008
3,ASIFABAD,S01,5,ST,2008
4,KHANAPUR,S01,6,ST,2008
5,ADILABAD,S01,7,GEN,2008
6,BOATH,S01,8,ST,2008
7,NIRMAL,S01,9,GEN,2008
8,MUDHOLE,S01,10,GEN,2008
9,CHENNUR,S01,2,SC,2008
10,BELLAMPALLI,S01,3,SC,2008
11,MANCHERIAL,S01,4,GEN,2008
12,DHARMAPURI,S01,22,SC,2008
13,RAMAGUNDAM,S01,23,GEN,2008
14,MANTHANI,S01,24,GEN,2008
15,PEDDAPALLE,S01,25,GEN,2008
16,KARIMNAGAR,S01,26,GEN,2008
17,CHOPPADANDI,S01,27,SC,2008
18,VEMULAWADA,S01,28,GEN,2008
19,SIRCILLA,S01,29,GEN,2008
20,MANAKONDUR,S01,30,SC,2008
21,HUZURABAD,S01,31,GEN,2008
22,HUSNABAD,S01,32,GEN,2008
23,ARMUR,S01,11,GEN,2008
24,BODHAN,S01,12,GEN,2008
25,NIZAMABAD (URBAN),S01,17,GEN,2008
26,NIZAMABAD (RURAL),S01,18,GEN,2008
27,BALKONDA,S01,19,GEN,2008
28,KORATLA,S01,20,GEN,2008
29,JAGTIAL,S01,21,GEN,2008
30,JUKKAL,S01,13,SC,2008
31,BANSWADA,S01,14,GEN,2008
32,YELLAREDDY,S01,15,GEN,2008
33,KAMAREDDY,S01,16,GEN,2008
34,NARAYANKHED,S01,35,GEN,2008
35,ANDOLE,S01,36,SC,2008
36,ZAHIRABAD,S01,38,SC,2008
37,SIDDIPET,S01,33,GEN,2008
38,MEDAK,S01,34,GEN,2008
39,NARSAPUR,S01,37,GEN,2008
40,SANGAREDDY,S01,39,GEN,2008
41,PATANCHERU,S01,40,GEN,2008
42,DUBBAK,S01,41,GEN,2008
43,GAJWEL,S01,42,GEN,2008
44,MEDCHAL,S01,43,GEN,2008
45,MALKAJGIRI,S01,44,GEN,2008
46,QUTBULLAPUR,S01,45,GEN,2008
47,KUKATPALLE,S01,46,GEN,2008
48,UPPAL,S01,47,GEN,2008
49,LAL BAHADUR NAGAR,S01,49,GEN,2008
50,SECUNDERABAD CANTT,S01,71,SC,2008
51,MUSHEERABAD,S01,57,GEN,2008
52,AMBERPET,S01,59,GEN,2008
53,KHAIRATABAD,S01,60,GEN,2008
54,JUBILEE HILLS,S01,61,GEN,2008
55,SANATHNAGAR,S01,62,GEN,2008
56,NAMPALLY,S01,63,GEN,2008
57,SECUNDERABAD,S01,70,GEN,2008
58,MALAKPET,S01,58,GEN,2008
59,KARWAN,S01,64,GEN,2008
60,GOSHAMAHAL,S01,65,GEN,2008
61,CHARMINAR,S01,66,GEN,2008
62,CHANDRAYANGUTTA,S01,67,GEN,2008
63,YAKUTPURA,S01,68,GEN,2008
64,BAHADURPURA,S01,69,GEN,2008
65,MAHESWARAM,S01,50,GEN,2008
66,RAJENDRANAGAR,S01,51,GEN,2008
67,SERILINGAMPALLY,S01,52,GEN,2008
68,CHEVELLA,S01,53,SC,2008
69,PARGI,S01,54,GEN,2008
70,VICARABAD,S01,55,SC,2008
71,TANDUR,S01,56,GEN,2008
72,KODANGAL,S01,72,GEN,2008
73,NARAYANPET,S01,73,GEN,2008
74,MAHBUBNAGAR,S01,74,GEN,2008
75,JADCHERLA,S01,75,GEN,2008
76,DEVARKADRA,S01,76,GEN,2008
77,MAKTHAL,S01,77,GEN,2008
78,SHADNAGAR,S01,84,GEN,2008
79,WANAPARTHY,S01,78,GEN,2008
80,GADWAL,S01,79,GEN,2008
