ST_CODE,ST_ABBR,ST_NAME,PC_CODE,PC_NAME,PC_TYPE,AC_CODE,AC_NAME,AC_TYPE
S01,AP,ANDHRA PRADESH,1,ARAKU,ST,10,PALAKONDA,ST
S01,AP,ANDHRA PRADESH,1,ARAKU,ST,11,KURUPAM,ST
S01,AP,ANDHRA PRADESH,1,ARAKU,ST,12,PARVATHIPURAM,SC
S01,AP,ANDHRA PRADESH,1,ARAKU,ST,13,SALUR,ST
S01,AP,ANDHRA PRADESH,1,ARAKU,ST,28,ARAKU VALLEY,ST
S01,AP,ANDHRA PRADESH,1,ARAKU,ST,29,PADERU,ST
S01,AP,ANDHRA PRADESH,1,ARAKU,ST,53,RAMPACHODOVARAM,ST
S01,AP,ANDHRA PRADESH,2,SRIKAKULAM,GEN,1,ICHCHAPURAM,GEN
S01,AP,ANDHRA PRADESH,2,SRIKAKULAM,GEN,2,PALASA,GEN
S01,AP,ANDHRA PRADESH,2,SRIKAKULAM,GEN,3,TEKKALI,GEN
S01,AP,ANDHRA PRADESH,2,SRIKAKULAM,GEN,4,PATHAPATNAM,GEN
S01,AP,ANDHRA PRADESH,2,SRIKAKULAM,GEN,5,SRIKAKULAM,GEN
S01,AP,ANDHRA PRADESH,2,SRIKAKULAM,GEN,6,AMADALAVALASA,GEN
S01,AP,ANDHRA PRADESH,2,SRIKAKULAM,GEN,8,NARASANNAPETA,GEN
S01,AP,ANDHRA PRADESH,3,VIZIANAGARAM,GEN,7,ETCHERLA,GEN
S01,AP,ANDHRA PRADESH,3,VIZIANAGARAM,GEN,9,RAJAM,SC
S01,AP,ANDHRA PRADESH,3,VIZIANAGARAM,GEN,14,BOBBILI,GEN
S01,AP,ANDHRA PRADESH,3,VIZIANAGARAM,GEN,15,CHEEPURUPALLI,GEN
S01,AP,ANDHRA PRADESH,3,VIZIANAGARAM,GEN,16,GAJAPATHINAGARAM,GEN
S01,AP,ANDHRA PRADESH,3,VIZIANAGARAM,GEN,17,NELLIMARLA,GEN
S01,AP,ANDHRA PRADESH,3,VIZIANAGARAM,GEN,18,VIZIANAGARAM,GEN
